timestamp,temp,humidity,air quality(finedust generation),location,,,,
2026. 4. 9 오후 11:10:41,24.4,48.7,109,kitchen,,,,
2026. 4. 9 오후 11:15:02,24.5,49.8,171,kitchen,,,,
2026. 4. 9 오후 11:16:14,24.5,49.9,214,kitchen,,,,
2026. 4. 9 오후 11:17:21,24.5,50,241,kitchen,,,,
2026. 4. 9 오후 11:21:55,24.6,50.5,406,kitchen,,,,
2026. 4. 9 오후 11:23:03,24.6,50.3,144,kitchen,,,,
2026. 4. 9 오후 11:24:07,24.6,50.2,235,kitchen,,,,
2026. 4. 9 오후 11:25:13,24.6,50.2,103,kitchen,,,,
2026. 4. 9 오후 11:26:21,24.6,50.1,348,kitchen,,,,
2026. 4. 9 오후 11:27:27,24.6,50,225,kitchen,,,,
2026. 4. 9 오후 11:28:33,24.6,50,275,kitchen,,,,
2026. 4. 9 오후 11:29:38,24.6,50,235,kitchen,,,,
2026. 4. 9 오후 11:30:42,24.6,50,64,kitchen,,,,
2026. 4. 9 오후 11:31:46,24.6,50,430,kitchen,,,,
2026. 4. 9 오후 11:32:50,24.6,50.1,343,kitchen,,,,
2026. 4. 9 오후 11:33:55,24.6,50.1,106,kitchen,,,,
2026. 4. 9 오후 11:34:59,24.6,50,185,kitchen,,,,
2026. 4. 9 오후 11:36:03,24.6,50.1,443,kitchen,,,,
2026. 4. 9 오후 11:37:08,24.6,50.2,370,kitchen,,,,
2026. 4. 9 오후 11:38:12,24.6,50.2,480,kitchen,,,,
2026. 4. 9 오후 11:39:17,24.6,50.2,322,kitchen,,,,
2026. 4. 9 오후 11:40:22,24.6,50.2,350,kitchen,,,,
2026. 4. 9 오후 11:41:26,24.6,50.3,284,kitchen,,,,
2026. 4. 9 오후 11:42:30,24.6,50.4,169,kitchen,,,,
2026. 4. 9 오후 11:43:35,24.7,50.5,396,kitchen,,,,
2026. 4. 9 오후 11:44:40,24.7,50.6,208,kitchen,,,,
2026. 4. 9 오후 11:45:44,24.7,51.1,382,kitchen,,,,
2026. 4. 9 오후 11:53:06,24.8,52.9,319,kitchen,,,,
2026. 4. 10 오전 10:08:33,25.2,53.3,114,kitchen,,,,
2026. 4. 10 오전 10:16:28,25,54.2,195,kitchen,,,,
2026. 4. 10 오전 10:21:33,25.6,64.4,511,kitchen,,,,
2026. 4. 10 오전 10:22:47,25.5,60.7,447,kitchen,,,,
2026. 4. 10 오전 10:25:58,25.5,61.7,224,kitchen,,,,
